ARTICULO;MODELO;EAN;SUBFAMILIA;NOMBRE_SUBFAMILIA;DESCRIPCION;MARCA;PRECIO;STOCK;PVPR;IVA_TECNO;OBSOLETO;CANONDIGITAL;FAMILIA;NOMBREFAMILIA;ART_EXCLU_E;NOMBRECARACTERISTICA;VALOR;NOMBRECARACTERISTICA1;VALOR1;NOMBRECARACTERISTICA2;VALOR2;NOMBRECARACTERISTICA3;VALOR3;NOMBRECARACTERISTICA4;VALOR4;NOMBRECARACTERISTICA5;VALOR5;NOMBRECARACTERISTICA6;VALOR6;NOMBRECARACTERISTICA7;VALOR7;URLIMAGEN
01170614;CMICP100;8437011216465;HMD;HORNO MICROONDAS INTEGRACION;HONRO CMICP-100;CORBERO;119,91;0;204,926190; ; ;0;01;GAMA BLANCA; ;Capacidad interior;20 L;Color;Acero inoxidable;Potencia microondas;800 W;Niveles Potencia;8;Clase eficiencia energetica; ;Grill;Si;Grill Power;1000 W;Dimensiones (An x Prof x Al); ;https://integra.hepecasa.es/01/01170614.jpg
01170638;DCPN22D360PX;8016361983632;LVV;LAVAVAJILLAS DE 60 CM;LAVAVAJ.CDPN-2D360PX;CANDY;326,07;0;557,253630; ; ;0;01;GAMA BLANCA; ;Ancho Frigos Agrupada; ;Altura;845;Ancho;600;Profundidad;600;Color;ACERO INOXIDABLE;Num. Cubiertos;13 cubiertos;Num. programas lavado;9;3ª Bandeja; ;https://integra.hepecasa.es/01/01170638.jpg
01170639;DCPN22D360PW;8016361983601;LVV;LAVAVAJILLAS DE 60 CM;LAVAVAJ.CDPN-2D360PW;CANDY;296,36;0;506,479240; ; ;0;01;GAMA BLANCA; ;Ancho Frigos Agrupada; ;Altura;845;Ancho;600;Profundidad;585;Color;BLANCO;Num. Cubiertos;13 cubiertos;Num. programas lavado;9;3ª Bandeja; ;https://integra.hepecasa.es/01/01170639.jpg
01170641;BELINEARS154540;8434778004311;FRG;FREGADERO;FREG.BE LINEA RS-15 45.40;TEKA;131,13;2;224,101170; ; ;0;01;GAMA BLANCA; ;Altura; ;Ancho;450;Color;Acero inoxidable;profundidad primer cuenco;20 cm;Num. orificios; ;dimension primer cuenco;450 x 400 mm;profundidad segundo cuenco; ;dimension segundo cuenco; ;https://integra.hepecasa.es/01/01170641.jpg
01170659;EMW2020IX;8435436111914;HMD;HORNO MICROONDAS INTEGRACION;HORNO EMW-2020-I X;EDESA;103,97;2;177,684730; ; ;0;01;GAMA BLANCA; ;Capacidad interior;20 L;Color;Acero inoxidable;Potencia microondas;700 W;Niveles Potencia; ;Clase eficiencia energetica; ;Grill;No;Grill Power; ;Dimensiones (An x Prof x Al); ;https://integra.hepecasa.es/01/01170659.jpg
01170695;TRC83631TCS;8434778008807;ENV;ENCIMERA VITROCERAMICA;TRC-83631 TCS;TEKA;249,29;0;426,036610; ; ;0;01;GAMA BLANCA; ;Altura;63;Ancho;800;Profundidad;400;Tipo de control;Tocar;Color;Negro;Clase eficiencia energetica; ;Numero de zonas coccion;3 zona(s);Ind. Calor residual;Si;https://integra.hepecasa.es/01/01170695.jpg
01170702;DHZ2701;4242002820828;ACX;ACCESORIO CAMPANA;ACCESORIO DHZ-2701;BOSCH;13,54;0;23,139860; ; ;0;01;GAMA BLANCA; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;https://integra.hepecasa.es/01/01170702.jpg
01170708;CCE1171X;8016361973985;CAM;CAMPANA DECORATIVA; CCE-117/1X;CANDY;87,10;0;148,8539; ; ;0;01;GAMA BLANCA; ;Ancho Frigos Agrupada; ;Color;Acero inoxidable;Ancho;700;Max. Capacidad Extracc.;305 m³/h;Numero de velocidades;3;Clase eficiencia energetica;C;Nivel de ruido;62 dB;Consumo energetico; ;https://integra.hepecasa.es/01/01170708.jpg
01170716;BELINEAS154040;8434778004328;FRG;FREGADERO;BE-LINEA RS15-40.40;TEKA;110,32;1;188,536880; ; ;0;01;GAMA BLANCA; ;Altura; ;Ancho;400;Color;Acero inoxidable;profundidad primer cuenco;20 cm;Num. orificios; ;dimension primer cuenco;400 x 400 mm;profundidad segundo cuenco; ;dimension segundo cuenco; ;https://integra.hepecasa.es/01/01170716.jpg
01170732;RS152C740;8434778004274;FRG;FREGADERO;PURELINE BE LINEA RS15 2C 740;TEKA;237,27;0;405,494430; ; ;0;01;GAMA BLANCA; ;Altura; ;Ancho;440;Color;Acero inoxidable;profundidad primer cuenco;20 cm;Num. orificios; ;dimension primer cuenco;340 x 400 mm;profundidad segundo cuenco;20 cm;dimension segundo cuenco;340 x 400 mm;https://integra.hepecasa.es/01/01170732.jpg
01170735;PROCLEAN3010;8435484015226;HMC;HORNO MICROONDAS;PROCLEAN 3010 (01522);CECOTEC;34,85;613;59,558650; ; ;0;01;GAMA BLANCA; ;Capacidad interior;20 L;Color;Negro, Blanco;Potencia microondas;700 W;Niveles Potencia;6;Grill;No;Grill Power; ;Clase eficiencia energetica; ;Dimensiones (An x Prof x Al);482X38X288;https://integra.hepecasa.es/01/01170735.jpg
01170736;PROCLEAN3110;8435484015233;HMC;HORNO MICROONDAS;PROCLEAN 3110 (01523);CECOTEC;37,83;535;64,651470; ; ;0;01;GAMA BLANCA; ;Capacidad interior;20 L;Color;Negro, Blanco;Potencia microondas;700 W;Niveles Potencia; ;Grill;Si;Grill Power;800 W;Clase eficiencia energetica; ;Dimensiones (An x Prof x Al); ;https://integra.hepecasa.es/01/01170736.jpg
01170737;01535;8435484015356;HMC;HORNO MICROONDAS;PROCLEAN 5110 (01535);CECOTEC;53,40;0;91,2606; ; ;0;01;GAMA BLANCA; ;Capacidad interior;20 L;Color;ACERO INOXIDABLE;Potencia microondas;700 W;Niveles Potencia;5;Grill;SI;Grill Power;800 W;Clase eficiencia energetica; ;Dimensiones (An x Prof x Al);445X355X255;https://integra.hepecasa.es/01/01170737.jpg
01170774;GCB63010KBB;8434778002959;ENC;ENCIMERA A GAS;GBC-63010KBB;TEKA;136,89;0;233,945010; ; ;0;01;GAMA BLANCA; ;Altura;50;Ancho;600;Tipo Gas;Encimera de gas;Profundidad;510;Numero de zonas coccion;3 zona(s);Color;Negro;Clase eficiencia energetica; ;Tipo de control;Giratorio;https://integra.hepecasa.es/01/01170774.jpg
01170775;FLEXLINEARS15;8434778004380;FRG;FREGADERO;FLEXLINEARS15;TEKA;158,19;0;270,346710; ; ;0;01;GAMA BLANCA; ;Altura;200;Ancho;540;Color;Acero inoxidable;profundidad primer cuenco;20 cm;Num. orificios; ;dimension primer cuenco;540 x 440 mm;profundidad segundo cuenco; ;dimension segundo cuenco; ;https://integra.hepecasa.es/01/01170775.jpg
01170778;E916X;5604409145406;COC;COCINA;E916X;MEIRELES;828,97;0;1416,709730; ; ;0;01;GAMA BLANCA; ;Color; ;Altura;900;Ancho;850;Horno incluido; ;Numero de zonas coccion;5 zona(s);Clase eficiencia energetica;A;Tipo Gas;Encimera de gas;Grill;Si;https://integra.hepecasa.es/01/01170778.jpg
01170779;E911R;5604409139245;COC;COCINA;E911R;MEIRELES;782,01;0;1336,455090; ; ;0;01;GAMA BLANCA; ;Color; ;Altura; ;Ancho;900;Horno incluido; ;Numero de zonas coccion;5 zona(s);Clase eficiencia energetica;A;Tipo Gas;Encimera de gas;Grill; ;https://integra.hepecasa.es/01/01170779.jpg
01170790;MEP291R;5604409142566;CAM;CAMPANA DECORATIVA;MEP291R;MEIRELES;210,63;0;359,966670; ; ;0;01;GAMA BLANCA; ;Ancho Frigos Agrupada; ;Color;Rojo;Ancho;900;Max. Capacidad Extracc.;580 m³/h;Numero de velocidades; ;Clase eficiencia energetica;C;Nivel de ruido;71 dB;Consumo energetico; ;https://integra.hepecasa.es/01/01170790.jpg
